Target System,Target Table/Xpath/JSON Schema/Other,Target Column,Source Table/Xpath/JSON Schema/Other,Source Column
ADW_BDV,PACKAGING_COMPONENT_BR,"*[PACKAGING_COMPONENT_CD](#PACKAGING_COMPONENT_CD) <div id=""PACKAGING_COMPONENT_CD Logic""></div>","AP, OP & VALPAK",Multiple see step 1
ADW_BDV,PACKAGING_COMPONENT_BR,"*[VALID_FROM_DT](#VALID_FROM_DT) <div id=""VALID_FROM_DT Logic""></div>",EVOLVE_SAT & VALPAK,"EFFECTIVE_FROM_TS, VALID_FROM_TS"
ADW_BDV,PACKAGING_COMPONENT_BR,"*[VALID_TO_DT](#VALID_TO_DT) <div id=""VALID_TO_DT Logic""></div>",EVOLVE_SAT & VALPAK,N/A
ADW_BDV,PACKAGING_COMPONENT_BR,"*[ITEM_CD](#ITEM_CD) <div id=""ITEM_CD Logic""></div>","AP, OP & VALPAK","ITEM_NK1, ITEM_CD"
ADW_BDV,PACKAGING_COMPONENT_BR,"*[SPECIFICATION_VERSION_CD](#SPECIFICATION_VERSION_CD) <div id=""SPECIFICATION_VERSION_CD Logic""></div>",EVOLVE_SAT & VALPAK,Multiple see step 7
ADW_BDV,PACKAGING_COMPONENT_BR,"*[SPECIFICATION_STATUS](#SPECIFICATION_STATUS) <div id=""SPECIFICATION_STATUS Logic""></div>",EVOLVE_SAT & VALPAK,SPECIFICATION_STATUS
ADW_BDV,PACKAGING_COMPONENT_BR,"*[PACKAGING_CD](#PACKAGING_CD) <div id=""PACKAGING_CD Logic""></div>","AP, OP & VALPAK",ITEM_PACKAGING_CD
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_CD](#COMPONENT_CD) <div id=""COMPONENT_CD Logic""></div>","AP, OP & VALPAK",ITEM_PACKAGING_COMPONENT_CD
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_DESC](#COMPONENT_DESC) <div id=""COMPONENT_DESC Logic""></div>","AP, OP & VALPAK","PACKAGING_COMPONENT_COMPONENT, ITEM_PACKAGING_COMPONENT_DESC, ITEM_PACKAGING_COMPONENT_DESC"
ADW_BDV,PACKAGING_COMPONENT_BR,"*[COMPONENT_LEVEL_DESC](#COMPONENT_LEVEL_DESC) <div id=""COMPONENT_LEVEL_DESC Logic""></div>","AP, OP & VALPAK","PACKAGING_COMPONENT_LEVEL, PACKAGING_LEVEL_DESC, PACKAGING_LEVEL_DESC"
